congress,chamber,district_code,state_abbrev,party_code,bioname,nominate_dim1
106,House,1.0,AL,200,"CALLAHAN, Herbert Leon (Sonny)",0.373
106,House,5.0,AL,100,"CRAMER, Robert E. (Bud), Jr.",-0.132
106,House,2.0,AL,200,"EVERETT, Robert Terry",0.414
106,House,6.0,AL,200,"BACHUS, Spencer T., III",0.387
106,House,7.0,AL,100,"HILLIARD, Earl Frederick",-0.555
106,House,3.0,AL,200,"RILEY, Robert",0.433
106,House,4.0,AL,200,"ADERHOLT, Robert",0.375
106,House,1.0,AK,200,"YOUNG, Donald Edwin",0.284
106,House,3.0,AZ,200,"STUMP, Robert Lee",0.703
106,House,5.0,AZ,200,"KOLBE, James Thomas",0.35100000000000003
106,House,2.0,AZ,100,"PASTOR, Ed",-0.42100000000000004
106,House,1.0,AZ,200,"SALMON, Matthew James",0.6729999999999999
106,House,4.0,AZ,200,"SHADEGG, John B.",0.7490000000000001
106,House,6.0,AZ,200,"HAYWORTH, John D., Jr.",0.5589999999999999
106,House,4.0,AR,200,"DICKEY, Jay W., Jr.",0.391
106,House,1.0,AR,100,"BERRY, Robert Marion",-0.293
106,House,2.0,AR,100,"SNYDER, Victor F.",-0.268
106,House,3.0,AR,200,"HUTCHINSON, Asa",0.358
106,House,42.0,CA,100,"BROWN, George Edward, Jr.",-0.506
106,House,13.0,CA,100,"STARK, Fortney Hillman (Pete), Jr.",-0.631
106,House,7.0,CA,100,"MILLER, George",-0.552
106,House,29.0,CA,100,"WAXMAN, Henry Arnold",-0.473
106,House,32.0,CA,100,"DIXON, Julian Carey",-0.45799999999999996
106,House,40.0,CA,200,"LEWIS, Charles Jeremy (Jerry)",0.348
106,House,5.0,CA,100,"MATSUI, Robert T.",-0.40399999999999997
106,House,21.0,CA,200,"THOMAS, William Marshall",0.371
106,House,28.0,CA,200,"DREIER, David Timothy",0.478
106,House,52.0,CA,200,"HUNTER, Duncan Lee",0.47
106,House,12.0,CA,100,"LANTOS, Thomas Peter",-0.376
106,House,31.0,CA,100,"MARTÍNEZ, Matthew G.",-0.341
106,House,26.0,CA,100,"BERMAN, Howard Lawrence",-0.40399999999999997
106,House,48.0,CA,200,"PACKARD, Ronald C.",0.419
106,House,23.0,CA,200,"GALLEGLY, Elton W.",0.402
106,House,2.0,CA,200,"HERGER, Walter William (Wally)",0.551
106,House,8.0,CA,100,"PELOSI, Nancy",-0.49
106,House,15.0,CA,200,"CAMPBELL, Thomas J.",0.256
106,House,47.0,CA,200,"COX, Charles Christopher",0.54
106,House,45.0,CA,200,"ROHRABACHER, Dana",0.626
106,House,18.0,CA,100,"CONDIT, Gary Adrian",-0.10300000000000001
106,House,4.0,CA,200,"DOOLITTLE, John Taylor",0.519
106,House,20.0,CA,100,"DOOLEY, Calvin M.",-0.19
106,House,35.0,CA,100,"WATERS, Maxine",-0.653
106,House,51.0,CA,200,"CUNNINGHAM, Randall (Duke)",0.41100000000000003
106,House,6.0,CA,100,"WOOLSEY, Lynn C.",-0.556
106,House,11.0,CA,200,"POMBO, Richard William",0.461
106,House,14.0,CA,100,"ESHOO, Anna Georges",-0.381
106,House,17.0,CA,100,"FARR, Sam",-0.455
106,House,25.0,CA,200,"McKEON, Howard P. (Buck)",0.396
106,House,30.0,CA,100,"BECERRA, Xavier",-0.512
106,House,33.0,CA,100,"ROYBAL-ALLARD, Lucille",-0.469
106,House,38.0,CA,200,"HORN, John Stephen (Steve)",0.16699999999999998
106,House,39.0,CA,200,"ROYCE, Edward Randall",0.657
106,House,43.0,CA,200,"CALVERT, Ken",0.35
106,House,50.0,CA,100,"FILNER, Bob",-0.652
106,House,16.0,CA,100,"LOFGREN, Zoe",-0.402
106,House,19.0,CA,200,"RADANOVICH, George P.",0.484
106,House,49.0,CA,200,"BILBRAY, Brian P.",0.392
106,House,37.0,CA,100,"MILLENDER-McDONALD, Juanita",-0.43799999999999994
106,House,10.0,CA,100,"TAUSCHER, Ellen O'Kane",-0.308
106,House,24.0,CA,100,"SHERMAN, Brad",-0.342
106,House,27.0,CA,200,"ROGAN, James E.",0.475
106,House,46.0,CA,100,"SANCHEZ, Loretta",-0.36700000000000005
106,House,22.0,CA,100,"CAPPS, Lois",-0.389
106,House,44.0,CA,200,"BONO, Mary",0.353
106,House,9.0,CA,100,"LEE, Barbara",-0.682
106,House,1.0,CA,100,"THOMPSON, Michael",-0.395
106,House,3.0,CA,200,"OSE, Doug",0.289
106,House,34.0,CA,100,"NAPOLITANO, Grace Flores",-0.44799999999999995
106,House,36.0,CA,200,"KUYKENDALL, Steven T.",0.21899999999999997
106,House,41.0,CA,200,"MILLER, Gary G.",0.478
106,House,42.0,CA,100,"BACA, Joe",-0.349
106,House,31.0,CA,200,"MARTÍNEZ, Matthew G.",0.371
106,House,5.0,CO,200,"HEFLEY, Joel M.",0.591
106,House,3.0,CO,200,"McINNIS, Scott",0.391
106,House,1.0,CO,100,"DeGETTE, Diana",-0.431
106,House,4.0,CO,200,"SCHAFFER, Robert W.",0.638
106,House,2.0,CO,100,"UDALL, Mark",-0.353
106,House,6.0,CO,200,"TANCREDO, Thomas G.",0.75
106,House,2.0,CT,100,"GEJDENSON, Samuel",-0.41600000000000004
106,House,6.0,CT,200,"JOHNSON, Nancy Lee",0.122
106,House,4.0,CT,200,"SHAYS, Christopher H.",0.129
106,House,3.0,CT,100,"DeLAURO, Rosa L.",-0.415
106,House,5.0,CT,100,"MALONEY, James H.",-0.244
106,House,1.0,CT,100,"LARSON, John B.",-0.397
106,House,1.0,DE,200,"CASTLE, Michael Newbold",0.22899999999999998
106,House,10.0,FL,200,"YOUNG, Charles William (Bill)",0.325
106,House,8.0,FL,200,"McCOLLUM, Ira William, Jr. (Bill)",0.377
106,House,22.0,FL,200,"SHAW, Eugene Clay, Jr.",0.3
106,House,9.0,FL,200,"BILIRAKIS, Michael",0.382
106,House,14.0,FL,200,"GOSS, Porter J.",0.42100000000000004
106,House,6.0,FL,200,"STEARNS, Clifford Bundy",0.5539999999999999
106,House,18.0,FL,200,"ROS-LEHTINEN, Ileana",0.244
106,House,3.0,FL,100,"BROWN, Corrine",-0.429
106,House,4.0,FL,200,"FOWLER, Tillie Kidd",0.32899999999999996
106,House,5.0,FL,100,"THURMAN, Karen L.",-0.304
106,House,7.0,FL,200,"MICA, John L.",0.45299999999999996
106,House,12.0,FL,200,"CANADY, Charles Terrance",0.382
106,House,13.0,FL,200,"MILLER, Daniel",0.45299999999999996
106,House,17.0,FL,100,"MEEK, Carrie P.",-0.483
106,House,20.0,FL,100,"DEUTSCH, Peter R.",-0.324
106,House,21.0,FL,200,"DIAZ-BALART, Lincoln",0.243
106,House,23.0,FL,100,"HASTINGS, Alcee Lamar",-0.564
106,House,15.0,FL,200,"WELDON, David Joseph",0.47100000000000003
106,House,16.0,FL,200,"FOLEY, Mark A.",0.311
106,House,2.0,FL,100,"BOYD, F. Allen, Jr.",-0.18100000000000002
106,House,11.0,FL,100,"DAVIS, Jim",-0.278
106,House,19.0,FL,100,"WEXLER, Robert",-0.392
106,House,1.0,FL,200,"SCARBOROUGH, Charles Joseph",0.672
106,House,5.0,GA,100,"LEWIS, John R.",-0.589
106,House,1.0,GA,200,"KINGSTON, Jack",0.54
106,House,2.0,GA,100,"BISHOP, Sanford Dixon, Jr.",-0.28300000000000003
106,House,3.0,GA,200,"COLLINS, Michael Allen (Mac)",0.536
106,House,11.0,GA,200,"LINDER, John Elmer",0.5589999999999999
106,House,4.0,GA,100,"McKINNEY, Cynthia Ann",-0.5329999999999999
106,House,7.0,GA,200,"BARR, Bob",0.632
106,House,8.0,GA,200,"CHAMBLISS, Saxby",0.423
106,House,10.0,GA,200,"NORWOOD, Charles W., Jr.",0.5329999999999999
106,House,6.0,GA,200,"ISAKSON, Johnny",0.402
106,House,9.0,GA,200,"DEAL, John Nathan",0.581
106,House,2.0,HI,100,"MINK, Patsy Takemoto",-0.513
106,House,1.0,HI,100,"ABERCROMBIE, Neil",-0.43200000000000005
106,House,1.0,ID,200,"CHENOWETH-HAGE, Helen P.",0.797
106,House,2.0,ID,200,"SIMPSON, Michael K.",0.29600000000000004
106,House,8.0,IL,200,"CRANE, Philip Miller",0.7390000000000001
